date,season,Champion
2013-08-27 00:00:00,Season 3,Nocturne
2013-08-06 00:00:00,Season 3,Lissandra
2013-02-12 00:00:00,Season 3,Singed
2013-02-19 00:00:00,Season 3,Morgana
2013-02-26 00:00:00,Season 3,Olaf
2013-02-05 00:00:00,Season 3,Nautilus
2013-07-16 00:00:00,Season 3,Malzahar
2013-07-02 00:00:00,Season 3,Miss Fortune
2013-07-23 00:00:00,Season 3,Nidalee
2013-07-30 00:00:00,Season 3,Sejuani
2013-07-09 00:00:00,Season 3,Riven
2013-06-11 00:00:00,Season 3,Rammus
2013-06-18 00:00:00,Season 3,Quinn
2013-06-25 00:00:00,Season 3,Renekton
2013-06-04 00:00:00,Season 3,Nami
2013-03-12 00:00:00,Season 3,Miss Fortune
2013-03-19 00:00:00,Season 3,Sejuani
2013-03-26 00:00:00,Season 3,Nautilus
2013-03-05 00:00:00,Season 3,Nasus
